id	intConsecutivo	dtmh323setuptime	dtmh323connecttime	dtmh323disconnecttime	intIdFecha	intCodigoFecha	strNASIdentifier	intAcctSessionTime	intClientIPAddress	intNASIPAddress	strAcctTerminateCause	strCallingStationId	strCalledStationId	strAcmeFlowTypeaudioF	strAcmeFlowInRealmaudioF	intAcmeCallingPacketsaudio	intAcmeCallingRTPPacketsLostaudio	intAcmeCallingRTPAvgJitterAudio	intAcmeCallingRTPMaxJitteraudio	intSASCallingFactorRAudio	intSASCalledFactorRAudio	strAcmeSessionIngressRealm	strAcmeSessionEgressRealm	strAcmeSessionProtocolType	intAcmeCalledPacketsaudio	intAcmeCalledRTPPacketsLostaudio	intAcmeCalledRTPAvgJitterAudio	intAcmeCalledRTPMaxJitteraudio	strAcmeFirmwareVersion	intAcmeCallingPacketsvideo	intAcmeCallingRTPPacketsLostvideo	intAcmeCallingRTPAvgJittervideo	intAcmeCallingRTPMaxJittervideo	intAcmeCalledPacketsvideo	intAcmeCalledRTPPacketsLostvideo	intAcmeCalledRTPAvgJittervideo	intAcmeCalledRTPMaxJittervideo	intSASCallingFactorRRTpAudio	intModalidad	intCodigoGeografia	Count_intAcmeCallingRTPAvgJitterAudio	Count_intSASCallingFactorRaudio	Count_intSASCalledFactorRaudio	Count_intAcmeCalledRTPAvgJitterAudio	Count_intAcmeCallingRTPAvgJittervideo	Count_intAcmeCalledRTPAvgJittervideo	Count_intSASCallingFactorRRTPaudio	strAcctSessionId	intIdSAScallingdomain	intIdSAScalleddomain	intIdAcmeSipEstado	intIdSASIngressRemoteAddrIP	intIdSASEgressLocalAddrIP	intCodigoGeografia	strCodigoCiudad	strNombreCiudad	strCodigoDeptoEstado	strNombreDeptoEstado	strCodigoPais	strNombrePais	strNombreRegion	strTipo	strCiudadCapital	dtmFechaInicioVig	dtmFechaFinVig	dtmFechaModificacion	strEstado
1	706907548	2015-10-01 00:38:11.000	2015-10-01 00:38:24.000	2015-10-01 00:41:56.000	20151001	2457297	sbcmde03	212	0	0	User-Request	75897219	75891864	PCMU	core-oser	10605	0	0	20	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	10605	0	0	1	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	11243	0	1	1	0	0	0	1	vuh6pt267vtc8ppugt6762bud7u8bjkg@SoftX3000	428	99	0	1	0	11243	7500	CUCUTA	540	NORTE DE SANTANDER	48	COLOMBIA	ORIENTE	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706908851	2015-10-01 00:41:56.000	2015-10-01 00:41:59.000	2015-10-01 00:42:23.000	20151001	2457297	sbcmde03	24	0	0	User-Request	56424700	56431196	PCMU	core-oser	1189	0	0	0	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	1206	0	0	0	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	8k2c8kc68vhjit6v2u88t77ccihv62c2@SoftX3000	709	9	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706929821	2015-10-01 00:40:41.000	2015-10-01 00:40:52.000	2015-10-01 00:49:29.000	20151001	2457297	sbcmde03	517	0	0	User-Request	56456528	56445199	PCMU	core-oser	25823	0	0	21	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	25816	2	0	20	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	tjvpjht6tc8tuc7vv27vdv7ph668i6i2@SoftX3000	590	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706958776	2015-10-01 00:57:05.000	2015-10-01 00:57:34.000	2015-10-01 00:59:37.000	20151001	2457297	sbcmde03	123	0	0	User-Request	56457613	56431524	PCMU	core-oser	6109	0	0	20	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	6107	0	0	1	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	tpikuchvdku2jbgjikkkku6hd2btddti@SoftX3000	428	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706961046	2015-10-01 00:58:44.000	2015-10-01 00:58:52.000	2015-10-01 01:00:25.000	20151001	2457297	sbcmde03	93	0	0	User-Request	56454709	56432816	PCMU	core-oser	4609	0	0	1	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	4610	0	0	1	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	jkkv76gjt6jgihgkbd7pti6jv27ptjvc@SoftX3000	590	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706963882	2015-10-01 01:00:55.000	2015-10-01 01:01:11.000	2015-10-01 01:01:24.000	20151001	2457297	sbcmde03	13	0	0	User-Request	56450079	56438723	PCMU	core-oser	646	0	0	1	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	523	1	0	20	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	6p8g2bh2duudj8jiugudb78d7dgv6kkg@SoftX3000	590	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706964192	2015-10-01 00:54:05.000	2015-10-01 00:54:20.000	2015-10-01 01:01:29.000	20151001	2457297	sbcmde03	429	0	0	User-Request	56450736	56432177	PCMU	core-oser	21441	0	0	20	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	21441	0	0	21	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	tjbv2kpg8di8tg7pbbd8h72cbkkhcghh@SoftX3000	590	99	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706987744	2015-10-01 01:06:32.000	2015-10-01 01:06:39.000	2015-10-01 01:10:33.000	20151001	2457297	sbcmde03	234	0	0	User-Request	75897715	75891881	PCMU	core-oser	11689	4	0	21	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	11690	2	0	21	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	92,48639679	1	11243	0	1	1	0	0	0	1	tudjvk2ugvt6gh6pbt67j7j7gvuupi7p@SoftX3000	428	99	0	1	0	11243	7500	CUCUTA	540	NORTE DE SANTANDER	48	COLOMBIA	ORIENTE	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	706996263	2015-10-01 01:08:34.000	2015-10-01 01:08:34.000	2015-10-01 01:14:02.000	20151001	2457297	sbcmde02	328	0	0	User-Request	56424720	56424310	PCMU	core-lucia-1687	16436	0	0	20	93,23619843	93,23619843	core-lucia-1687	acc-lucia-1687	SIP	16346	0	0	928	SCX6.3.7 MR-3 GA (WS Build 205)	0	0	0	0	0	0	0	0	93,23619843	1	10839	0	1	1	0	0	0	1	bp2jcctiiujbjkphbk7ctbguv7kkijtd@SoftX3000	709	25	0	1	0	10839	5600	CARTAGENA	130	BOLIVAR	48	COLOMBIA	ATLANTICA	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
1	707000141	2015-10-01 01:11:36.000	2015-10-01 01:11:43.000	2015-10-01 01:15:45.000	20151001	2457297	sbcmde03	242	0	0	User-Request	75897715	75891881	PCMU	core-oser	12068	3	0	2	93,23619843	93,23619843	core-oser	acc-slbmde-mde6300	SIP	12075	1	0	2	SCZ7.2.0 MR-2 GA (Build 252)	0	0	0	0	0	0	0	0	92,69029999	1	11243	0	1	1	0	0	0	1	tjku8cbididb2jtpdjicb8ccpgdd6v7t@SoftX3000	428	99	0	1	0	11243	7500	CUCUTA	540	NORTE DE SANTANDER	48	COLOMBIA	ORIENTE	NACIONAL	N	2010-01-01 00:00:00.000	NULL	2012-02-15 09:25:39.100	A
